,category,title,author,pages,publication_year,ISBN,description,rating,watches
44,биография,О дивный новый мир,Алексей Толстой,493,1935,289-7751026486,very impressive,0.6000000000000001,8081
43,биография,Слепота,Алексей Толстой,147,2003,266-3310749296,write it yourself,2.6,15018
87,биография,Осиная фабрика,Генрих Сенкевич,417,2001,835-8742760013,description,4.9,77923
45,биография,Осиная фабрика,Артур Конан Дойл,162,2000,212-4648945284,middle,3.6,64369
50,биография,Скотный двор,Эрнест Хемингуэй,404,1956,872-1796291976,description,4.0,70082
55,биография,Лолита,Владимир Набоков,275,1852,505-5382478416,description,1.4,78485
7,биография,Скотный двор,Исаак Бабель,184,1857,474-1609062930,middle,4.9,56103
19,биография,451 градус по Фаренгейту,Харпер Ли,499,1880,258-2794550865,write it yourself,2.2,16031
84,биография,Неукротимый,Уильям Голдинг,125,1842,901-1667614893,middle,4.6,82127
78,биография,Большие надежды,Харуки Мураками,307,1988,386-7965821674,description,4.4,11320
73,детектив,Цветы для Элджернона,Майн Рид,137,2012,369-4009845728,small,0.9,37466
40,детектив,Автостопом по галактике,Колин Маккалоу,136,1826,647-1792166732,very impressive,1.2,44569
46,детектив,Падение дома Ашеров,Эрих Мария Ремарк,464,1934,689-1952287092,very impressive,4.2,5942
20,детектив,Хроники Нарнии,Майн Рид,353,1957,376-5679924680,middle,0.5,11633
37,детектив,Скотный двор,Тед Хьюз,422,1948,822-3213772992,small,3.3,54789
18,детектив,Граф Монте-Кристо,Синклер Льюис,177,1930,404-6317485418,description,2.4,83893
38,детектив,Франкенштейн,Умберто Эко,498,1827,337-3187518372,small,2.9,12859
16,детектив,Великий Гэтсби,Александр Пушкин,417,1832,905-4959294543,write it yourself,2.8,97553
76,детская литература,Женщина в песках,Федор Достоевский,105,1870,226-6185704567,very impressive,1.4,35135
66,детская литература,Белый шум,Габриэль Гарсиа Маркес,335,1852,193-5345548863,small,0.7000000000000001,45708
34,детская литература,Зеленая миля,Джозеф Конрад,317,1878,629-9385731118,very impressive,0.30000000000000004,64639
22,детская литература,Алхимик,Синклер Льюис,123,2015,684-3674989196,small,1.0,63670
54,детская литература,"Лев, колдунья и платяной шкаф",Ярослав Гашек,217,1938,851-1380708066,description,1.2,16649
25,детская литература,Автостопом по галактике,Майн Рид,472,1965,541-5514677848,middle,0.5,56146
47,детская литература,Котлован,Майн Рид,359,1840,457-9403799262,very impressive,3.3,82584
72,исторический роман,Ватек,Артур Конан Дойл,198,1871,670-6873988628,write it yourself,2.7,26957
86,исторический роман,Исчезнувшая,Владимир Набоков,494,1812,651-1012457348,middle,0.1,53305
12,исторический роман,20 000 лье под водой,Оскар Уайльд,327,1953,484-8312451511,description,2.6,87663
29,исторический роман,Лолита,Эрих Мария Ремарк,374,1820,909-6818819978,middle,4.9,83437
58,исторический роман,Солярис,Станислав Лем,316,1939,107-8462669765,very impressive,3.4,72893
74,исторический роман,Убить пересмешника,Алан Александр Милн,428,1993,905-3438430130,description,2.8,24921
59,исторический роман,Котлован,Клайв Стейплз Льюис,473,1946,805-7632985766,write it yourself,1.9,99697
51,любовный роман,Дюна,Федор Достоевский,243,2004,307-6963169249,small,2.9,98448
67,любовный роман,Ярмарка тщеславия,Эрнест Хемингуэй,168,1994,350-3792460941,very impressive,2.2,16578
69,любовный роман,Идиот,Уильям Голдинг,430,1890,268-2380501415,write it yourself,0.2,4883
57,любовный роман,Сто лет одиночества,Жюль Верн,238,1994,304-6002574564,write it yourself,2.6,12819
65,любовный роман,Волхв,Роберт Льюис Стивенсон,474,1988,633-2206806491,description,0.5,80769
49,любовный роман,Оно,Юстейн Гордер,129,1999,159-8352728967,description,1.8,37854
75,любовный роман,Белый шум,Генрих Сенкевич,410,1931,182-6014473039,description,3.2,46692
88,любовный роман,451 градус по Фаренгейту,Джордж Оруэлл,138,1951,130-3424594810,middle,4.3,22340
4,любовный роман,Заводной апельсин,Николай Гоголь,369,1931,546-2397188174,small,0.4,1262
14,любовный роман,Солярис,Юстейн Гордер,480,1828,928-9144439778,small,2.9,86226
35,любовный роман,Зеленая миля,Умберто Эко,167,1951,831-1530627544,small,4.6,15120
