,id,image,title,price,bonuses,processor,camera,sim,matrix,resolution,acc,ram
0,27085,/upload/188145.jpeg,"5.0"" Apple 256GB",142171,1421,8x4.9,18,,,,,
1,12810,/upload/81962.svg,"7.1"" Broadcom 240GB",492649,4926,4x1.0,,1,OLED,2560x1440,4370,
2,12854,/upload/666099.jpeg,"6.6"" Samsung 32GB",430795,4307,4x2.2,104,,IPS,1366x2160,,
4,22546,/upload/662832.jpg,"6.9"" ARM 256GB",438855,4388,8x1.7,37,4,,,4990,2
5,30933,/upload/648274.svg,"6.6"" IBM 48GB",388193,3881,8x2.7,110,1,AMOLED,1280x768,3107,13
6,99326,/upload/674083.jpeg,"5.0"" HTC 176GB",12467,124,6x4.4,25,,AMOLED,1920x1366,3606,4
8,16458,/upload/141836.svg,"5.4"" Microsoft 256GB",111897,1118,4x1.6,90,,,1920x1200,,
9,37513,/upload/353228.jpeg,"5.1"" ADATA 64GB",126564,1265,4x3.5,,,,,,
13,67840,/upload/175960.webp,"6.3"" Nokia 224GB",340552,3405,6x3.7,,,IPS,,,5
16,21773,/upload/653962.png,"5.5"" AMD 192GB",179929,1799,6x1.0,,,OLED,1024x1200,4232,
17,49519,/upload/15033.webp,"5.1"" OPPO 176GB",153576,1535,6x1.5,,,AMOLED,1600x1440,6146,
18,35179,/upload/501496.svg,"5.0"" Microsoft 144GB",153571,1535,4x3.4,22,1,OLED,,,5
19,49667,/upload/146741.png,"7.3"" Corsair 240GB",442481,4424,6x1.1,115,,OLED,,6003,
21,43388,/upload/906155.svg,"5.4"" OPPO 64GB",485613,4856,2x1.1,67,,,,3337,
22,11992,/upload/599129.jpeg,"6.0"" Hewlett-Packard 160GB",46324,463,8x4.1,36,3,,1280x1366,,3
24,16354,/upload/897086.svg,"5.6"" Alcatel 80GB",211800,2118,4x4.5,63,4,IPS,,,
26,28700,/upload/996876.png,"5.1"" MSI 64GB",340796,3407,8x1.5,60,4,,1920x1200,7262,
28,91989,/upload/720860.webp,"7.3"" Transcend 240GB",11961,119,8x2.5,,2,,1920x1200,7493,
29,61419,/upload/638354.png,"6.2"" Broadcom 80GB",152980,1529,8x3.4,,,AMOLED,2560x768,6966,4
30,22045,/upload/533117.svg,"5.6"" iPhone X 64GB",83585,835,4x4.3,18,1,,,2062,8
31,25626,/upload/730321.webp,"5.1"" Blackberry 176GB",11144,111,4x2.6,30,1,,,7586,16
36,73999,/upload/70777.png,"5.9"" Huawei P 128GB",411736,4117,2x2.3,,,IPS,,7512,
37,83849,/upload/151771.jpeg,"6.1"" Samsung S21 112GB",338959,3389,2x2.3,,3,IPS,1024x1440,,
38,35043,/upload/218443.jpg,"5.4"" Dell 160GB",416547,4165,8x2.5,,,,1280x1080,,4
39,94258,/upload/48764.jpeg,"6.7"" AMD 80GB",191558,1915,8x1.9,107,,IPS,1920x1200,3533,
40,47831,/upload/500016.png,"6.6"" Texas Instruments 16GB",210151,2101,4x2.3,18,,,1366x768,,14
41,43680,/upload/223161.webp,"5.1"" Broadcom 32GB",83139,831,2x1.6,51,,AMOLED,1920x1366,5596,
43,73702,/upload/176694.webp,"5.4"" Nokia 240GB",155744,1557,6x2.6,108,4,OLED,1366x2160,6256,10
44,90757,/upload/620459.svg,"6.8"" Qualcomm 176GB",334298,3342,6x4.1,68,3,,1600x1200,4699,10
46,97344,/upload/411691.jpg,"7.2"" AMD 176GB",300850,3008,2x3.8,118,,OLED,,5797,
47,36181,/upload/486970.jpg,"5.1"" Hewlett-Packard 208GB",233730,2337,4x3.9,90,3,IPS,,6417,2
50,12216,/upload/932357.png,"7.3"" ARM 96GB",446176,4461,8x4.1,84,1,IPS,2560x1200,6103,
53,74218,/upload/231044.jpeg,"5.7"" Asus 112GB",428036,4280,4x3.3,,1,IPS,,4523,10
54,20953,/upload/541044.svg,"7.4"" Nokia 112GB",292651,2926,8x2.5,,,AMOLED,1366x1366,7566,4
55,56592,/upload/326106.svg,"6.7"" ASUS 176GB",448691,4486,8x3.2,75,,AMOLED,2560x1080,5066,3
58,37390,/upload/739313.svg,"5.7"" Corsair 240GB",107854,1078,4x3.3,26,4,,1280x768,3881,
59,64396,/upload/272748.svg,"7.5"" Plextor 192GB",41340,413,8x1.7,,4,IPS,,6885,15
61,21196,/upload/738083.webp,"5.3"" Qualcomm 48GB",482490,4824,2x1.7,100,,OLED,,7728,
62,10557,/upload/13324.webp,"5.4"" VIVO 112GB",198782,1987,2x1.0,,,OLED,1366x1366,,8
63,31222,/upload/610526.png,"6.3"" IBM 192GB",138757,1387,2x1.0,,4,,1366x1200,4300,
66,40238,/upload/530951.webp,"5.6"" Sony 240GB",443724,4437,6x4.9,101,1,AMOLED,1600x1440,,9
67,74008,/upload/855929.svg,"7.2"" Sony 176GB",146584,1465,4x2.4,126,,AMOLED,,3271,
68,95908,/upload/726167.jpg,"7.0"" LG 64GB",38124,381,8x4.8,79,3,,2560x1200,,
71,97993,/upload/252579.webp,"5.1"" Transcend 176GB",273764,2737,8x1.7,,4,AMOLED,1366x1440,5287,12
72,79886,/upload/817216.svg,"5.9"" ASUS 224GB",157222,1572,8x1.4,62,,IPS,1280x2160,2173,
74,95043,/upload/330067.webp,"5.0"" Blackberry 32GB",170922,1709,6x4.3,120,,OLED,1024x1200,5521,
75,87619,/upload/418599.jpeg,"6.9"" Marvell 128GB",17379,173,8x4.1,61,3,,1024x1366,3929,5
76,88553,/upload/708935.jpg,"5.1"" AMD 16GB",210191,2101,4x3.8,111,,,,6448,
77,69597,/upload/562398.webp,"7.4"" Dell 96GB",228882,2288,8x3.3,68,,,1920x1080,,
79,51101,/upload/813416.png,"5.8"" PNY 32GB",369604,3696,8x2.5,57,,IPS,2560x1366,5983,13
80,35368,/upload/425368.jpeg,"5.7"" ASUS 160GB",299730,2997,8x1.7,,,IPS,1920x1200,,
84,77172,/upload/459831.svg,"6.6"" Samsung 96GB",397705,3977,8x2.7,47,4,,1024x1080,4129,10
86,81808,/upload/8228.jpeg,"6.9"" Corsair 192GB",371437,3714,8x2.9,60,1,IPS,1600x1080,,
87,85916,/upload/558593.jpg,"5.3"" Marvell 128GB",23702,237,6x4.2,,4,AMOLED,1280x1366,2547,6
88,72849,/upload/459185.png,"7.4"" Blackberry 160GB",141059,1410,2x4.1,78,3,IPS,1366x1080,,10
91,55408,/upload/186248.webp,"6.5"" LG 32GB",239858,2398,8x3.2,30,4,AMOLED,,,16
95,83308,/upload/798476.png,"6.9"" Xilinx 224GB",254097,2540,2x1.2,69,,,1280x1200,,9
97,35028,/upload/611829.png,"5.6"" HGST 144GB",422082,4220,2x4.7,,,AMOLED,,7746,
100,21508,/upload/785259.jpeg,"7.0"" Alcatel 160GB",328515,3285,4x4.8,41,1,IPS,,,2
103,25583,/upload/770414.jpg,"6.6"" Alcatel 176GB",475997,4759,6x4.7,,1,AMOLED,,,16
