,id,image,title,price,bonuses,processor,camera,sim,matrix,resolution,acc,ram
1381,10081,/upload/110407.jpg,"6.1"" ARM 192GB",321898,3218,,,,AMOLED,1600x1080,5173,10
337,10126,/upload/384302.png,"5.3"" Samsung Note 80GB",36618,366,2x3.5,114,3,AMOLED,1366x2160,,
1039,10154,/upload/984586.jpg,"6.5"" SanDisk 48GB",96858,968,,,,AMOLED,1280x1200,,
409,10171,/upload/105223.png,"6.6"" Huawei P 160GB",90136,901,4x4.3,103,,OLED,1920x768,7410,
1220,10215,/upload/596324.svg,"6.2"" Hewlett-Packard 64GB",413066,4130,6x2.6,124,3,,2560x2160,2048,14
1289,10269,/upload/312503.webp,"5.6"" Texas Instruments 224GB",459917,4599,4x2.8,113,,,,3460,4
572,10447,/upload/592885.jpg,"5.8"" PNY 160GB",269933,2699,8x3.0,,,,,7057,4
1077,10549,/upload/249206.jpg,"6.6"" Fujitsu 160GB",178308,1783,,44,4,,1280x768,5905,6
2249,10550,/upload/127492.png,"5.7"" Intel 16GB",120944,1209,6x1.1,62,,OLED,1280x768,2856,
2095,10557,/upload/280896.jpg,"5.7"" Microsoft 208GB",105056,1050,4x3.5,39,3,,,,
62,10557,/upload/13324.webp,"5.4"" VIVO 112GB",198782,1987,2x1.0,,,OLED,1366x1366,,8
1597,10594,/upload/984694.png,"6.3"" Toshiba 48GB",139706,1397,2x4.1,,3,IPS,1600x1080,4547,
462,10596,/upload/636666.png,"7.4"" OCZ 128GB",411465,4114,8x4.2,106,1,,1366x1200,4038,11
1159,10629,/upload/281541.jpg,"6.3"" iPhone 13 96GB",92726,927,6x1.3,109,,IPS,2560x1366,5204,7
2278,10640,/upload/212116.jpg,"5.2"" Transcend 144GB",460572,4605,,41,,AMOLED,1366x1080,,6
1232,10671,/upload/123348.jpg,"7.1"" Huawei P 192GB",484773,4847,,,,OLED,,,15
291,10697,/upload/274563.jpg,"5.8"" Alcatel 208GB",291177,2911,8x3.9,,3,IPS,2560x1366,,
1897,10698,/upload/566858.jpeg,"6.7"" Motorola 96GB",190674,1906,4x4.6,31,1,IPS,,,6
11,10759,/upload/409485.svg,"6.8"" Toshiba 160GB",209665,2096,,32,2,IPS,,,3
821,10765,/upload/731892.webp,"5.9"" Acer 80GB",205206,2052,,106,3,OLED,,3511,
1280,10771,/upload/533248.svg,"6.5"" Samsung S21 16GB",55981,559,8x3.8,16,,,,7423,14
279,10784,/upload/977321.webp,"5.7"" Asus 48GB",14349,143,,40,,,1024x768,,
1061,10790,/upload/582560.svg,"6.1"" OPPO 240GB",466375,4663,2x5.0,101,1,IPS,1600x1080,,2
2243,10826,/upload/249679.jpeg,"5.0"" Qualcomm 48GB",493389,4933,8x1.0,53,2,IPS,1366x1080,,2
2131,10911,/upload/243394.svg,"6.8"" Nokia 112GB",141007,1410,,,4,,,3662,
252,10922,/upload/236851.png,"7.1"" LaCie 240GB",444889,4448,2x2.4,,,IPS,1600x1080,6308,
1240,10968,/upload/880118.svg,"7.3"" Nokia 64GB",187533,1875,,27,3,OLED,,3098,10
1916,10983,/upload/491148.jpeg,"5.7"" IBM 32GB",439572,4395,8x2.9,101,1,,,5106,
641,11116,/upload/466980.svg,"6.6"" Kingston 128GB",218500,2185,2x4.0,125,4,OLED,,4557,6
2289,11178,/upload/694076.jpg,"7.0"" Samsung Note 80GB",486871,4868,8x4.7,,3,AMOLED,1280x1080,,15
1374,11235,/upload/457074.svg,"7.3"" Alcatel 256GB",165496,1654,2x1.5,108,,AMOLED,2560x1200,,
408,11252,/upload/294857.png,"7.4"" Hewlett-Packard 240GB",301334,3013,8x3.2,71,,,,5014,
933,11367,/upload/608480.jpg,"5.7"" Silicon Power 32GB",264206,2642,2x1.6,,,OLED,,4732,7
1944,11382,/upload/401160.png,"6.6"" Plextor 192GB",181626,1816,2x3.1,70,4,OLED,1920x2160,2935,
1976,11442,/upload/695569.png,"5.8"" Motorola 192GB",11555,115,,,,OLED,,4561,
1062,11443,/upload/202259.jpg,"6.0"" Samsung 128GB",309608,3096,6x2.6,72,2,AMOLED,,4278,
170,11482,/upload/506929.jpg,"5.0"" Plextor 112GB",18926,189,4x1.0,29,1,,1920x1080,,2
1854,11563,/upload/788635.png,"7.4"" Marvell 176GB",285127,2851,8x4.2,104,4,IPS,2560x1080,,11
1273,11611,/upload/122186.webp,"6.0"" Samsung Note 176GB",38799,387,8x2.8,111,,,1024x1080,2091,
143,11622,/upload/145367.jpg,"7.3"" Samsung S21 112GB",224954,2249,6x4.9,46,4,,,5743,11
2187,11656,/upload/182414.jpg,"5.8"" Nokia 192GB",16504,165,,114,,,1920x1440,,
1168,11656,/upload/214201.svg,"5.0"" Google Pixel 96GB",283959,2839,8x2.5,,,,2560x1200,5018,2
2254,11682,/upload/668585.png,"7.0"" Motorola 64GB",358452,3584,8x4.8,16,,,1600x1440,5618,
1421,11713,/upload/565691.svg,"6.2"" iPhone 12 240GB",74307,743,2x2.8,86,3,,,4961,3
1015,11770,/upload/552482.jpeg,"6.6"" Blackberry 160GB",388913,3889,4x2.9,104,1,,1280x1366,3717,8
1187,11833,/upload/87931.svg,"5.4"" Blackberry 96GB",324771,3247,,,4,IPS,1366x2160,4286,5
1267,11877,/upload/803644.svg,"6.4"" ASUS 192GB",421508,4215,4x4.5,,3,AMOLED,1280x1366,,12
22,11992,/upload/599129.jpeg,"6.0"" Hewlett-Packard 160GB",46324,463,8x4.1,36,3,,1280x1366,,3
1198,11996,/upload/596405.png,"6.3"" Acer 16GB",75206,752,8x1.5,,3,AMOLED,1920x768,,6
1888,12066,/upload/297390.webp,"5.3"" LG 112GB",64445,644,4x2.7,,2,AMOLED,1280x1366,,
1101,12078,/upload/502750.jpg,"5.5"" Fujitsu 176GB",149319,1493,8x4.0,39,,IPS,1920x1366,,
2117,12123,/upload/90677.webp,"6.3"" Blackberry 128GB",166162,1661,,60,3,IPS,1024x2160,,
120,12128,/upload/120218.jpeg,"5.5"" Asus 256GB",290331,2903,,,2,IPS,1024x2160,2223,
310,12178,/upload/785050.jpeg,"6.2"" OPPO 96GB",302612,3026,6x1.6,90,2,,1920x768,,10
1254,12181,/upload/613825.png,"6.6"" ZTE 240GB",407915,4079,,,,,2560x768,3466,9
50,12216,/upload/932357.png,"7.3"" ARM 96GB",446176,4461,8x4.1,84,1,IPS,2560x1200,6103,
657,12274,/upload/447331.jpeg,"6.6"" SanDisk 240GB",378140,3781,,,4,AMOLED,1600x1440,4951,2
721,12328,/upload/718983.jpeg,"6.5"" Hewlett-Packard 240GB",354110,3541,,,3,,1280x768,6559,16
1247,12354,/upload/242199.png,"5.2"" Seagate 96GB",408209,4082,2x2.0,31,2,,,4436,
1992,12432,/upload/876851.svg,"7.0"" Western Digital 192GB",43248,432,,27,,,1024x1366,,
1662,12449,/upload/116166.jpg,"6.4"" Kingston 144GB",383837,3838,,,,IPS,,3756,12
1564,12495,/upload/745414.jpg,"6.0"" SanDisk 32GB",335538,3355,6x2.2,,3,,,,
23,12519,/upload/875336.jpeg,"7.4"" Xiaomi Mi 80GB",134332,1343,,,,OLED,1600x768,5208,16
1498,12559,/upload/16591.png,"6.6"" IBM 48GB",135215,1352,4x2.8,54,,IPS,,3893,2
1567,12564,/upload/220996.jpg,"6.5"" Kingston 80GB",33344,333,,120,4,OLED,1366x1440,6770,3
