,name,constellation,spectral,radius,rotation,age,distance,magnitude
88,Канопус 4954,Рыбы,L9S,4216694.0,71.86,0.13,559569.52,8.26
21,Бетельгейзе 1806,Дева,W1Q,4312256.0,304.0,5.09,4001737.03,6.88
84,Канопус 2374,Рыбы,P0Z,4740657.0,448.1,0.29,235970.54,3.5
38,Акрукс 5433,Стрелец,P7N,5640172.0,954.82,5.11,6769751.47,9.2
43,Хадар 1751,Рыбы,Z5N,10051797.0,457.69,4.34,9785784.38,5.61
1,Фомалхаут 5871,Стрелец,A1K,29895937.0,989.21,4.93,5388063.32,5.27
54,Хадар 1075,Скорпион,M6N,47206427.0,364.3,5.73,7741320.18,1.19
33,Акрукс 1384,Стрелец,Y0I,51435271.0,920.04,3.56,6185064.83,8.54
42,Бетельгейзе 9131,Весы,Q8V,61141358.0,906.75,0.2,2439334.16,7.14
86,Фомальгаут 6901,Близнецы,V6W,61260244.0,292.0,1.94,5898263.33,3.18
37,Ригель 8170,Козерог,M6W,64999323.0,763.84,5.18,6442608.69,1.01
104,Антарес 7482,Козерог,D6N,69841860.0,144.87,2.03,7927903.5,7.9
59,Канопус 6305,Козерог,L5E,71773861.0,873.36,5.67,4626045.87,6.5
151,Канопус 9807,Козерог,Z5D,77212609.0,962.49,1.93,9397148.36,7.5
137,Антарес 6108,Телец,H9V,86373131.0,428.89,0.75,3695893.56,5.14
110,Вега 2957,Рыбы,T3V,88535457.0,263.89,0.51,1595620.79,1.91
25,Бетельгейзе 4279,Овен,V7W,94623369.0,810.87,2.98,9805502.06,8.99
142,Акрукс 8136,Дева,A8B,96187881.0,588.12,1.11,4385361.37,3.77
91,Хадар 6291,Близнецы,L1D,105979338.0,166.65,4.25,2820143.74,1.24
114,Фомалхаут 3256,Близнецы,T9A,106980351.0,148.36,2.02,9157897.3,2.11
129,Канопус 2026,Лев,P1B,111605269.0,983.56,0.95,8156341.56,6.98
155,Солнце 5412,Водолей,R3O,112932484.0,316.7,0.65,8657156.67,5.6
75,Хадар 7022,Водолей,P6D,117798204.0,74.78,5.08,4765800.62,9.63
23,Канопус 3073,Лев,J3Z,119875758.0,199.21,3.88,6362446.58,2.66
45,Солнце 8809,Овен,I0A,123211129.0,637.71,1.38,5021203.57,3.62
102,Хадар 5869,Дева,S5I,126686643.0,950.63,5.29,4563630.79,6.99
101,Антарес 2054,Телец,B5C,128193602.0,923.55,2.51,8713760.73,4.63
109,Бетельгейзе 3587,Водолей,R6M,131688230.0,916.39,0.26,915382.32,6.82
13,Антарес 7252,Скорпион,J9I,132465859.0,359.15,5.33,4837875.5,7.86
2,Альфа Центавра 7423,Лев,U2G,132829165.0,142.4,5.07,9458026.74,2.51
118,Фомальгаут 4155,Рак,O1T,137220431.0,96.47,2.72,7373062.0,4.33
49,Бетельгейзе 3379,Весы,Q9P,140876052.0,46.03,1.84,3371286.9,4.73
44,Альфа Центавра 2043,Телец,I8R,144001589.0,518.74,4.15,9044279.28,8.31
9,Акрукс 8722,Стрелец,P4D,144863332.0,355.4,1.93,5617453.0,9.73
