,id,name,category,size,color,material,price,rating,reviews,new,exclusive,sporty
1,233681443,PleinSport Skirt O-4159,Skirt,XXL,Красный,Нейлон,402864.0,1.9,55815.0,+,no,
19,388116619,Fila Hat T-9916,Hat,M,Зеленый,Шерсть,981039.0,4.41,508024.0,+,,
27,606140361,PleinSport Skirt F-2637,Skirt,XL,Голубой,Хлопок,432669.0,2.41,709223.0,+,no,no
31,730315446,PleinSport Jeans F-1070,Jeans,S,Красный,Хлопок,201087.0,2.6,330067.0,+,no,
36,176407214,PleinSport Jacket K-2976,Jacket,M,Фиолетовый,Вискоза,346879.0,2.07,767227.0,+,,yes
40,857918047,Reebok Socks Y-8380,Socks,XL,Оранжевый,Кожа,891696.0,2.05,228878.0,+,no,
42,143698269,Vans Socks E-4010,Socks,XXL,Синий,Лен,798664.0,2.53,72860.0,+,,no
48,423910854,Asics Hat T-4183,Hat,L,Синий,Кожа,789912.0,4.2,727879.0,+,,
50,174318250,Adidas Skirt O-6110,Skirt,XXL,Голубой,Кожа,990691.0,2.57,531033.0,+,,no
54,130007684,Adidas Handbags T-5881,Handbags,L,Красный,Нейлон,922410.0,4.84,424741.0,+,,no
63,364509267,Nike Jacket G-5636,Jacket,XXL,Зеленый,Нейлон,713440.0,4.55,679724.0,+,no,
69,945315369,Converse Jeans S-2210,Jeans,XXL,Зеленый,Кожа,141215.0,4.03,718443.0,+,no,yes
89,727786964,Fila Skirt Q-8135,Skirt,M,Голубой,Вискоза,376116.0,2.71,790960.0,+,no,no
91,243800440,Addidas Dress X-1546,Dress,S,Желтый,Лен,632060.0,3.39,44532.0,+,,yes
92,567823008,Ellesse Shoes G-5060,Shoes,XL,Зеленый,Вискоза,104292.0,3.51,31669.0,+,,
99,607186690,Fila Blouse Y-1343,Blouse,XXL,Голубой,Шерсть,366125.0,1.98,423067.0,+,no,yes
104,880145463,Nike Shirt N-9106,Shirt,XXL,Красный,Полиэстер,213362.0,3.51,896291.0,+,,
105,727422310,DC Shoes N-8474,Shoes,M,Зеленый,Вискоза,907728.0,3.84,315720.0,+,no,
107,575438886,Adidas T-shirt E-9170,T-shirt,XL,Красный,Полиэстер,318244.0,2.73,113309.0,+,,
108,983720869,Asics Pants F-9106,Pants,L,Синий,Нейлон,402943.0,1.36,407011.0,+,no,yes
117,555183363,Addidas Handbags D-7628,Handbags,XL,Зеленый,Кожа,642883.0,4.91,677902.0,+,no,
126,740394689,DC Dress O-2266,Dress,XL,Зеленый,Вискоза,959188.0,4.7,879669.0,+,yes,
127,528104783,Converse Belts O-4508,Belts,S,Голубой,Хлопок,615282.0,1.9,274023.0,+,,yes
133,244802438,DC T-shirt M-7142,T-shirt,M,Желтый,Вискоза,738106.0,2.5,890161.0,+,,
134,570670199,Puma Socks A-4529,Socks,XL,Синий,Хлопок,576607.0,1.36,877160.0,+,no,no
140,790198378,Adidas Hat D-3667,Hat,L,Зеленый,Кожа,965593.0,2.78,807990.0,+,no,
141,210285595,Lacoste Shoes B-6701,Shoes,L,Оранжевый,Шерсть,189854.0,3.92,275608.0,+,,
144,496242382,Addidas Jacket C-5565,Jacket,L,Синий,Шелк,838797.0,3.89,836271.0,+,no,no
156,699523554,Adidas Hat G-8533,Hat,S,Оранжевый,Шелк,593393.0,3.36,328469.0,+,no,no
159,288281561,PleinSport Blouse A-6440,Blouse,L,Красный,Вискоза,418716.0,3.97,97778.0,+,,yes
160,179576492,Lacoste Umbrellas D-4396,Umbrellas,XXL,Красный,Лен,769582.0,1.45,205447.0,+,,
165,715307440,New Balance Sweater C-1602,Sweater,XXL,Фиолетовый,Лен,323236.0,3.59,353763.0,+,,
166,765477181,Addidas Socks I-1103,Socks,M,Фиолетовый,Шелк,500360.0,1.36,505003.0,+,,yes
173,597919058,Reebok T-shirt C-2224,T-shirt,M,Синий,Лен,434073.0,2.67,487218.0,+,no,
177,350204463,Under Armour Blouse W-9551,Blouse,XXL,Фиолетовый,Хлопок,161416.0,2.6,819896.0,+,yes,no
181,420033083,Fila Jeans Y-6659,Jeans,S,Красный,Полиэстер,796114.0,3.69,100819.0,+,yes,yes
183,762735846,Converse Jeans X-2561,Jeans,XXL,Красный,Шерсть,294715.0,2.16,667799.0,+,no,
186,574707550,Lacoste Pants K-9464,Pants,S,Синий,Вискоза,289973.0,3.33,485361.0,+,,no
189,187628427,Ellesse Dress C-3503,Dress,L,Зеленый,Вискоза,230534.0,2.94,214129.0,+,,yes
190,231316071,Fila Hat P-5461,Hat,M,Голубой,Хлопок,614687.0,3.71,661382.0,+,,
193,563168992,Nike Jeans J-5690,Jeans,S,Оранжевый,Нейлон,178226.0,3.06,382808.0,+,,no
199,671559205,Lacoste Skirt Y-1310,Skirt,M,Красный,Шерсть,302640.0,2.98,210922.0,+,,
206,211865312,Vans Blouse M-6940,Blouse,M,Фиолетовый,Нейлон,237286.0,3.04,265497.0,+,,
223,328975912,Ellesse Gloves P-9368,Gloves,XL,Оранжевый,Шелк,988311.0,2.79,971338.0,+,,
226,439060597,Ellesse Skirt C-3177,Skirt,S,Фиолетовый,Вискоза,189013.0,3.4,21701.0,+,no,
231,665108416,PleinSport Hat L-4478,Hat,XL,Синий,Кожа,521338.0,1.58,476593.0,+,,
244,546517188,PleinSport Handbags U-3383,Handbags,XXL,Синий,Вискоза,202299.0,3.8,868010.0,+,no,
249,192107051,Vans Gloves R-9813,Gloves,XXL,Оранжевый,Шерсть,772697.0,2.26,616207.0,+,,
252,930522957,Addidas Dress S-8771,Dress,XL,Голубой,Шелк,577572.0,4.81,687082.0,+,no,no
253,398964129,Vans Belts E-5539,Belts,XL,Фиолетовый,Хлопок,886479.0,2.29,522897.0,+,no,
256,732946197,Asics Dress A-4650,Dress,L,Желтый,Кожа,643647.0,2.01,151809.0,+,yes,
264,898494469,New Balance Jacket H-8151,Jacket,S,Оранжевый,Нейлон,144075.0,1.49,508229.0,+,no,yes
268,464203547,Lacoste Umbrellas P-5170,Umbrellas,XL,Голубой,Шерсть,251128.0,1.63,346866.0,+,no,yes
270,345745919,Under Armour Gloves P-1418,Gloves,XXL,Голубой,Шелк,188412.0,2.81,809172.0,+,no,no
278,918158650,Vans Umbrellas T-2187,Umbrellas,S,Голубой,Полиэстер,384906.0,3.62,987975.0,+,,yes
279,227424463,Brooks Pants Y-4337,Pants,XL,Голубой,Вискоза,571704.0,1.03,405527.0,+,no,yes
280,235085569,Ellesse T-shirt I-1013,T-shirt,XL,Желтый,Хлопок,944964.0,2.33,754802.0,+,no,
289,435573732,Reebok Dress D-5584,Dress,XL,Голубой,Нейлон,115857.0,1.17,924977.0,+,no,
290,516602799,DC Sweater D-9305,Sweater,XL,Голубой,Хлопок,275833.0,4.72,799938.0,+,yes,no
291,918676909,Fila Socks R-5208,Socks,M,Голубой,Хлопок,844602.0,1.81,539788.0,+,no,
292,748084081,Ellesse Hat O-8519,Hat,S,Оранжевый,Шерсть,870706.0,3.29,912292.0,+,,yes
296,499712221,PleinSport Dress W-4806,Dress,M,Голубой,Полиэстер,171603.0,1.01,450042.0,+,no,
300,639189937,Converse Shoes L-5063,Shoes,M,Синий,Вискоза,953062.0,3.0,880595.0,+,no,no
302,405693286,Nike Sweater E-3962,Sweater,S,Зеленый,Кожа,184286.0,1.2,787534.0,+,,no
303,791457205,Puma Blouse X-9362,Blouse,XXL,Желтый,Хлопок,321605.0,2.48,637818.0,+,no,
304,630078233,Converse Socks L-5034,Socks,L,Голубой,Шелк,596618.0,4.83,438869.0,+,yes,no
311,903407995,Nike Shoes R-3863,Shoes,S,Желтый,Полиэстер,993035.0,4.7,510435.0,+,,
