,id,name,category,size,color,material,price,rating,reviews,new,exclusive,sporty
1898,617827650,Addidas Belts B-4027,Belts,M,Фиолетовый,Шелк,968508.0,1.71,339170.0,+,no,no
1632,862564422,Addidas Belts F-4231,Belts,S,Фиолетовый,Лен,463691.0,4.93,710485.0,+,,
903,879423941,Addidas Belts I-3704,Belts,S,Оранжевый,Хлопок,932656.0,3.14,252400.0,,yes,yes
294,898543241,Addidas Belts K-5106,Belts,L,Оранжевый,Полиэстер,311896.0,2.75,831740.0,-,no,
3400,679842219,Addidas Belts K-8631,Belts,S,Синий,Нейлон,240386.0,4.41,617360.0,,no,no
3361,766884139,Addidas Belts O-4374,Belts,L,Синий,Хлопок,231039.0,3.88,378424.0,-,no,
2576,439060661,Addidas Belts O-7794,Belts,M,Оранжевый,Шерсть,705874.0,1.8,585729.0,+,,
3577,240286332,Addidas Belts P-9149,Belts,L,Фиолетовый,Шелк,764178.0,4.56,675006.0,+,no,no
1322,294226876,Addidas Belts Q-5697,Belts,S,Фиолетовый,Хлопок,597742.0,1.91,361866.0,,,yes
2728,658203167,Addidas Belts V-4859,Belts,XXL,Синий,Кожа,235837.0,1.49,322482.0,-,,no
2451,181500680,Addidas Belts W-6268,Belts,L,Красный,Вискоза,801754.0,3.53,215237.0,,no,
3068,216569532,Addidas Belts X-3028,Belts,XL,Синий,Лен,656914.0,3.73,942336.0,-,yes,
1144,990013923,Addidas Belts Y-2354,Belts,L,Синий,Хлопок,133306.0,2.09,178932.0,+,yes,no
3283,432650825,Addidas Belts Z-6359,Belts,L,Синий,Нейлон,430278.0,1.77,276828.0,+,no,no
178,309234097,Addidas Blouse B-3873,Blouse,XL,Красный,Вискоза,992118.0,2.55,652400.0,,,yes
437,960323279,Addidas Blouse F-3799,Blouse,M,Зеленый,Нейлон,781751.0,2.65,758163.0,-,yes,
705,560623186,Addidas Blouse G-7888,Blouse,S,Синий,Шелк,871998.0,1.02,244171.0,-,yes,no
392,644674192,Addidas Blouse H-7271,Blouse,XXL,Синий,Кожа,130877.0,3.22,154847.0,,,no
1866,846298840,Addidas Blouse J-1937,Blouse,XL,Голубой,Нейлон,120883.0,3.68,454065.0,-,no,
1548,313374521,Addidas Blouse R-1721,Blouse,L,Фиолетовый,Шерсть,223784.0,1.24,258443.0,+,,
2546,865991932,Addidas Blouse R-5813,Blouse,L,Желтый,Полиэстер,686927.0,1.64,521158.0,+,,no
1054,657781251,Addidas Blouse T-6380,Blouse,XXL,Красный,Шерсть,504614.0,3.73,395375.0,-,,
3126,232555660,Addidas Blouse U-8287,Blouse,S,Зеленый,Шерсть,854456.0,2.44,407175.0,-,no,no
942,526801991,Addidas Blouse Y-4378,Blouse,XXL,Оранжевый,Лен,553249.0,4.85,163001.0,+,yes,no
132,159165461,Addidas Blouse Y-6788,Blouse,XXL,Красный,Полиэстер,381834.0,1.8,565631.0,,no,yes
1285,895550839,Addidas Blouse Z-6442,Blouse,L,Желтый,Вискоза,198206.0,4.94,418984.0,+,yes,
2562,154030779,Addidas Dress A-1384,Dress,XL,Голубой,Нейлон,376466.0,2.35,986206.0,,,
3598,813436351,Addidas Dress B-1283,Dress,L,Красный,Полиэстер,336498.0,2.95,546244.0,-,no,
2034,507049778,Addidas Dress B-9595,Dress,XXL,Голубой,Лен,596631.0,1.87,906219.0,+,no,no
751,878588558,Addidas Dress C-8323,Dress,XL,Синий,Шелк,657681.0,4.04,173318.0,-,no,no
1848,632558733,Addidas Dress H-2293,Dress,L,Желтый,Нейлон,848082.0,4.76,230713.0,+,no,yes
604,367391442,Addidas Dress H-4305,Dress,L,Оранжевый,Шерсть,511748.0,4.41,82228.0,,no,no
2501,433863781,Addidas Dress I-1573,Dress,XL,Синий,Лен,423831.0,4.36,94987.0,,,yes
2849,527404331,Addidas Dress L-5720,Dress,XXL,Красный,Шелк,181741.0,3.33,836693.0,,no,
2596,444859471,Addidas Dress L-5769,Dress,M,Голубой,Шелк,521510.0,3.08,39300.0,,yes,yes
215,527995365,Addidas Dress M-1839,Dress,XXL,Зеленый,Лен,750105.0,4.65,847061.0,-,no,no
1495,650989175,Addidas Dress N-6039,Dress,M,Фиолетовый,Хлопок,658410.0,4.21,601311.0,-,,no
1061,997303700,Addidas Dress N-8926,Dress,XXL,Голубой,Лен,720665.0,4.23,450597.0,,yes,yes
1929,391887936,Addidas Dress Q-1032,Dress,M,Красный,Шерсть,514525.0,2.26,30261.0,-,no,no
3288,113551332,Addidas Dress Q-6761,Dress,XXL,Фиолетовый,Шелк,651702.0,2.85,359875.0,-,,
90,320041682,Addidas Dress R-3042,Dress,XXL,Голубой,Шерсть,454632.0,3.0,910449.0,,no,yes
252,930522957,Addidas Dress S-8771,Dress,XL,Голубой,Шелк,577572.0,4.81,687082.0,+,no,no
91,243800440,Addidas Dress X-1546,Dress,S,Желтый,Лен,632060.0,3.39,44532.0,+,,yes
2752,594364391,Addidas Gloves B-8021,Gloves,M,Фиолетовый,Лен,775136.0,1.3,294311.0,-,no,no
3155,279432261,Addidas Gloves D-2261,Gloves,M,Синий,Нейлон,954649.0,1.18,935149.0,,no,yes
697,654487433,Addidas Gloves D-9763,Gloves,S,Желтый,Кожа,248805.0,2.47,608277.0,,no,
704,440176941,Addidas Gloves E-5500,Gloves,L,Голубой,Лен,226306.0,2.91,984698.0,+,,
1811,677391998,Addidas Gloves F-2887,Gloves,M,Оранжевый,Шелк,937359.0,3.52,713672.0,,,no
1638,660810179,Addidas Gloves H-5559,Gloves,XXL,Красный,Полиэстер,639253.0,3.59,660021.0,,no,no
779,240534793,Addidas Gloves H-7494,Gloves,M,Красный,Кожа,627633.0,2.09,137733.0,-,,yes
3181,484659039,Addidas Gloves H-8758,Gloves,XXL,Синий,Нейлон,114616.0,1.76,150174.0,-,yes,no
1654,960008720,Addidas Gloves K-7141,Gloves,XL,Зеленый,Лен,473199.0,1.37,772169.0,,no,no
