,href,title,desc,category
8,/news/o-lyudyakh/bolee-tysyachi-invalidam-prolechili-zuby-pod-narkozom-v-chelyabinske/,Более тысячи инвалидов пролечили зубы под наркозом в Челябинске,Такую возможность по полису ОМС предоставляют две клиники,Общество
15,/news/o-lyudyakh/bolshe-45-tysyach-sosen-otpravila-chelyabinskaya-oblast-v-kazakhstan-za-dva-mesyatsa/,Больше 45 тысяч сосен отправила Челябинская область в Казахстан за два месяца,Все новогодние деревья прошли фитосанитарный контроль,Общество
11,/news/o-lyudyakh/v-zlatouste-pochti-40-mnogokvartirnykh-domov-ostalis-bez-otopleniya-iz-za-avarii/,В Златоусте почти 40 многоквартирных домов остались без отопления из‑за аварии,Специалисты ищут место утечки,Общество
2,/news/o-lyudyakh/v-zlatouste-feldshery-i-zubnye-vrachi-poluchat-po-800-tysyach-rubley-podemnykh/,В Златоусте фельдшеры и зубные врачи получат по 800 тысяч рублей подъемных,За это нужно отработать в городе шесть лет,Общество
0,/news/proisshestviya/v-chelyabinske-zhenshchina-za-rulem-toyota-poluchila-travmy-v-dtp/,В Челябинске женщина за рулем Toyota получила травмы в ДТП,Второй участник аварии допустил несколько нарушений,Происшествия
4,/news/o-lyudyakh/v-chelyabinske-sobirayut-komandu-po-sledzh-khokkeyu-iz-uchastnikov-svo/,В Челябинске собирают команду по следж-хоккею из участников СВО,Тренировки проходят на базе областного Центра адаптивных видов спорта,Общество
3,/news/proisshestviya/v-chelyabinskoy-oblasti-muzhchina-pogib-iz-za-zagorevsheysya-elektroplity/,В Челябинской области мужчина погиб из‑за загоревшейся электроплиты,Пожарных вызвал родственник погибшего,Происшествия
10,/news/o-lyudyakh/v-chelyabinskoy-oblasti-prodolzhitsya-modernizatsiya-energokompleksa/,В Челябинской области продолжится модернизация энергокомплекса,Губернатор Алексей Текслер и гендиректор ПАО «Россети Урал» Дмитрий Воденников согласовали планы дал...,Общество
18,/news/o-lyudyakh/v-chelyabinskoy-oblasti-roditeli-i-opekuny-detey-invalidov-vykhodyat-na-pensiyu-dosrochno/,В Челябинской области родители и опекуны детей-инвалидов выходят на пенсию досрочно,С начала года этим правом воспользовались более тысячи человек,Общество
14,/news/o-lyudyakh/v-natsparke-taganay-ubirayut-kormushki-dlya-ptits-iz-apelsinov/,В нацпарке «Таганай» убирают кормушки для птиц из апельсинов,Пернатые не едят засыпанное внутрь плода пшено,Общество
7,/news/o-lyudyakh/gubernator-aleksey-teksler-vozlozhil-tsvety-k-vechnomu-ognyu-v-den-neizvestnogo-soldata/,Губернатор Алексей Текслер возложил цветы к Вечному огню в День неизвестного солдата,"Сегодня отдают дань памяти воинам, погибшим и пропавшим без вести",Общество
13,/news/o-lyudyakh/zhitel-snezhinska-poteryal-bolee-175-tys-rubley-posle-zvonka-o-flyuorografii/,Житель Снежинска потерял более 175 тыс. рублей после звонка о флюорографии,"Неизвестная женщина представилась сотрудницей поликлиники и сказала, что возникли проблемы со снимко...",Общество
17,/news/o-lyudyakh/itogovoe-sochinenie-napishut-13-5-tys-yuzhnouralskikh-11-klassnikov/,"Итоговое сочинение напишут 13,5 тысячи южноуральских 11‑классников",Экзамен — допуск к ЕГЭ,Общество
5,/news/sport/kikboksery-chelyabinskoy-oblasti-zavoevali-vosem-medaley-na-chempionate-rossii/,Кикбоксеры Челябинской области завоевали восемь медалей на чемпионате России,На соревнованиях в Кемерове в 11-й раз завоевал титул сильнейшего Александр Бобров,Спорт
12,/news/sport/komanda-iz-magnitogorska-vyigrala-oblastnoy-etap-festivalya-igry-gto/,Команда из Магнитогорска выиграла областной этап фестиваля «Игры ГТО»,Она завоевала право представить Челябинскую область на всероссийских состязаниях,Спорт
6,/news/o-lyudyakh/spasateli-zamerili-tolshchinu-lda-na-vodoemakh-miassa/,Лед на водоемах Миасса промерз на четверть метров,Надежней всего замерзло озеро Ильменское,Общество
1,/news/sport/mini-futbolnyy-klub-yuzhnyy-ural-pokinet-glavnyy-trener-nurzhan-dzhetybaev/,Мини-футбольный клуб «Южный Урал» покинет главный тренер Нуржан Джетыбаев,Специалист принял решение завершить свою работу в челябинской команде,Спорт
19,/news/o-lyudyakh/rossiyan-predupredili-o-moshennichestve-s-nalogovoy-i-qr-kodami/,Россиян предупредили о мошеннической схеме с налоговой и QR‑кодами,Неизвестные начали запугивать людей конфискацией денег якобы за незадекларированный доход,Общество
9,/news/proisshestviya/uralskaya-biznesvumen-kontrabandoy-vyvezla-za-rubezh-pochti-100-tonn-nefteproduktov/,Уральская бизнесвумен контрабандой вывезла за рубеж почти 100 тонн нефтепродуктов,Стоимость незаконного экспорта превысила 12 миллионов рублей,Происшествия
16,/news/o-lyudyakh/uchenye-yuurgu-razrabotali-kvas-stimuliruyushchiy-immunitet/,"Ученые ЮУрГУ разработали квас, стимулирующий иммунитет",В напиток входит экстракт хвои,Общество
